,0,1
0,0.06544649,-0.76866376
1,-1.52901547,-0.42953079
2,1.70993371,0.69885253
3,1.16779145,1.01262638
4,-1.80110088,-0.31861296
5,-1.63567888,-0.02859535
6,1.21990375,0.74643463
7,-0.26175155,-0.62492939
8,-1.61925804,-0.47983949
9,-1.84329582,-0.16694431
10,1.35999602,0.94995827
11,0.42291856,-0.7349534
12,-1.68576139,0.10686728
13,0.90629995,1.09105162
14,-1.56478322,-0.84675394
15,-0.0257849,-1.18672539
16,0.83027324,1.14504612
17,1.22450432,1.35066759
18,-0.15394596,-0.71704301
19,0.86358809,1.06824613
20,-1.43386366,-0.2381297
21,0.03844769,-0.74635022
22,-1.58567922,0.08499354
23,0.6359888,-0.58477698
24,0.24417242,-0.53172465
25,-2.19680359,0.49473677
26,1.0323503,-0.55688
27,-0.28858067,-0.39972528
28,0.20597008,-0.80171536
29,-1.2107308,-0.34924109
30,1.33423684,0.7721489
31,1.19480152,1.04788556
32,0.9917477,0.89202008
33,-1.8356219,-0.04839732
34,0.08415721,-0.71564326
35,-1.48970175,-0.19299604
36,0.38782418,-0.82060119
37,-0.01448044,-0.9779841
38,-2.0521341,-0.02129125
39,0.10331194,-0.82162781
40,-0.44189315,-0.65710974
41,1.10390926,1.02481182
42,-1.59227759,-0.17374038
43,-1.47344152,-0.02202853
44,-1.35514704,0.22971067
45,0.0412337,-1.23776622
46,0.4761517,-1.13672124
47,1.04335676,0.82345905
48,-0.07961882,-0.85677394
49,0.87065059,1.08052841
50,1.40267313,1.07525119
51,0.80111157,1.28342825
52,-0.16527516,-1.23583804
53,-0.33779221,-0.59194323
54,0.80610749,-0.73752159
55,-1.43590032,-0.56384446
56,0.54868895,-0.95143829
57,0.46803131,-0.74973907
58,-1.5137129,-0.83914323
59,0.9138436,1.51126532
60,-1.97233903,-0.41155375
61,0.5213406,-0.88654894
62,0.62759494,-1.18590477
63,0.94163014,1.35399335
64,0.56994768,1.07036606
65,-1.87663382,0.14745773
66,0.90612186,0.91084011
67,-1.37481454,0.28428395
68,-1.80564029,-0.96710574
69,0.34307757,-0.79999275
70,0.70380566,1.00025804
71,-1.68489862,-0.30564595
72,1.31473221,0.98614978
73,0.26151216,-0.26069251
74,0.9193121,0.82371485
75,-1.21795929,-0.20219674
76,-0.17722723,-1.02665245
77,0.64824862,-0.66822881
78,0.41206786,-0.28783784
79,1.01568202,1.13481667
80,0.67900254,-0.91489502
81,-1.05182747,-0.01062376
82,0.61306599,1.78210384
83,-1.50219748,-0.52308922
84,-1.72717293,-0.46173916
85,-1.60995631,-0.1821007
86,-1.09111021,-0.0781398
87,-0.01046978,-0.80913034
88,0.32782303,-0.80734754
89,1.22038503,1.1959793
90,-1.33328681,-0.30001937
91,0.87959517,1.11566491
92,-1.14829098,-0.30400762
93,-0.58019755,-1.19996018
94,-0.01161159,-0.78468854
95,0.17359724,-0.63398145
96,1.32738556,0.67759969
97,-1.93467327,0.30572472
98,-1.57761893,-0.27726365
99,0.47639,1.21422648
100,-1.65237509,-0.6803981
101,-0.12609976,-1.04327457
102,-1.89607082,-0.70085502
103,0.57466899,0.74878369
104,-0.16660312,-0.83110295
105,0.8013355,1.22244435
106,1.18455426,1.4346467
107,1.08864428,0.64667112
108,-1.61158505,0.22805725
109,-1.57512205,-0.09612576
110,0.0721357,-0.69640328
111,-1.40054298,0.16390598
112,1.09607713,1.16804691
113,-2.54346204,-0.23089822
114,-1.34544875,0.25151126
115,-1.35478629,-0.19103317
116,0.18368113,-1.15827725
117,-1.31368677,-0.376357
118,0.09990129,1.22500491
119,1.17225574,1.30835143
120,0.0865397,-0.79714371
121,-0.21053923,-1.13421511
122,0.26496024,-0.94760742
123,-0.2557591,-1.06266022
124,-0.26039757,-0.74774225
125,-1.91787359,0.16434571
126,0.93021139,0.49436331
127,0.44770467,-0.72877918
128,-1.63802869,-0.58925528
129,-1.95712763,-0.10125137
130,0.9270337,0.88251423
131,1.25660093,0.60828073
132,-1.72818632,0.08416887
133,0.3499788,-0.30490298
134,-1.51696082,-0.50913109
135,0.18763605,-0.55424924
136,0.89609809,0.83551508
137,-1.54968857,-0.17114782
138,1.2157457,1.23317728
139,0.20307745,-1.03784906
140,0.84589086,1.03615273
141,0.53237919,1.47362884
142,-0.05319044,-1.36150553
143,1.38819743,1.11729915
144,1.00696304,1.0367721
145,0.56681869,-1.09637176
146,0.86888296,1.05248874
147,-1.16286609,-0.55875245
148,0.27717768,-0.83844015
149,0.16563267,-0.80306607
150,0.38263303,-0.42683241
151,1.14519807,0.89659026
152,0.81455857,0.67533667
153,-1.8603152,-0.09537561
154,0.965641,0.90295579
155,-1.49897451,-0.33254044
156,-0.1335489,-0.80727582
157,0.12541527,-1.13354906
158,1.06062436,1.28816358
159,-1.49154578,-0.2024641
160,1.16189032,1.28819877
161,0.54282033,0.75203524
162,0.89221065,0.99211624
163,-1.49932011,-0.32430667
164,0.3166647,-1.34482915
165,0.13972469,-1.22097448
166,-1.5499724,-0.10782584
167,1.23846858,1.37668804
168,1.25558954,0.72026098
169,0.25558689,-1.28529763
170,0.45168933,-0.55952093
171,1.06202057,1.03404604
172,0.67451908,-0.54970299
173,0.22759676,-1.02729468
174,-1.45835281,-0.04951074
175,0.23273501,-0.70849262
176,1.59679589,1.11395076
177,0.80476105,0.544627
178,1.15492521,1.04352191
179,0.59632776,-1.19142897
180,0.02839068,-0.43829366
181,1.13451584,0.5632633
182,0.21576204,-1.04445753
183,1.41048987,1.02830719
184,1.12289302,0.58029441
185,0.25200688,-0.82588436
186,-1.28566081,-0.07390909
187,1.52849815,1.11822469
188,-0.23907858,-0.70541972
189,-0.25792784,-0.81825035
190,0.59367818,-0.45239915
191,0.07931909,-0.29233213
192,-1.27256815,0.11630577
193,0.66930129,1.00731481
194,0.34791546,-1.20822877
195,-2.11283993,-0.66897935
196,-1.6293824,-0.32718222
197,-1.53819139,-0.01501972
198,-0.11988545,-0.6036339
199,-1.54418956,-0.30389844
200,0.30026614,-0.77723173
201,0.00935449,-0.53888192
202,-1.33424393,-0.11560431
203,0.47504489,0.78421384
204,0.59313264,1.232239
205,0.41370369,-1.35205857
206,0.55840948,0.78831053
207,0.49855018,-0.789949
208,0.35675809,-0.81038693
209,-1.86197825,-0.59071305
210,-1.61977671,-0.16076687
211,0.80779295,-0.73311294
212,1.62745775,0.62787163
213,-1.56993593,-0.08467567
214,1.02558561,0.89383302
215,0.24293461,-0.6088253
216,1.23130242,1.00262186
217,-1.9651013,-0.15886289
218,0.42795032,-0.70384432
219,-1.58306818,-0.19431923
220,-1.57195922,0.01413469
221,-0.98145373,0.06132285
222,-1.48637844,-0.5746531
223,0.98745828,0.69188053
224,1.28619721,1.28128821
225,0.85850596,0.95541481
226,0.19028286,-0.82112942
227,0.26561046,-0.04255239
228,-1.61897897,0.00862372
229,0.24070183,-0.52664209
230,1.15220993,0.43916694
231,-1.21967812,-0.2580313
232,0.33412533,-0.86117761
233,0.17131003,-0.75638965
234,-1.19828397,-0.73744665
235,-0.12245932,-0.45648879
236,1.51200698,0.88825741
237,1.10338866,0.92347479
238,1.30972095,0.59066989
239,0.19964876,1.14855889
240,0.81460515,0.84538972
241,-1.6422739,-0.42296206
242,0.01224351,-0.21247816
243,0.33709102,-0.74618065
244,0.47301054,0.72712075
245,0.34706626,1.23033757
246,-0.00393279,-0.97209694
247,-1.64303119,0.05276337
248,1.44649625,1.14217033
249,-1.93030087,-0.40026146
250,-2.37296135,-0.72633645
251,0.45860122,-1.06048953
252,0.4896361,-1.18928313
253,-1.02335902,-0.17520578
254,-1.32761107,-0.93963549
255,-1.50987909,-0.09473658
256,0.02723057,-0.79870549
257,1.0169412,1.26461701
258,0.47733527,-0.9898471
259,-1.27784224,-0.547416
260,0.49898802,-0.6237259
261,1.06004731,0.86870008
262,1.00207501,1.38293512
263,1.31161394,0.62833956
264,1.13428443,1.18346542
265,1.27671346,0.96632878
266,-0.63342885,-0.97768251
267,0.12698779,-0.93142317
268,-1.34510812,-0.23754226
269,-0.53162278,-1.25153594
270,0.21959934,-0.90269938
271,-1.78997479,-0.12115748
272,1.23197473,-0.07453764
273,1.4163536,1.21551752
274,-1.90280976,-0.1638976
275,-0.22440081,-0.75454248
276,0.59559412,0.92414553
277,1.21930773,1.08175284
278,-1.99427535,-0.37587799
279,-1.27818474,-0.52454551
280,0.62352689,-1.01430108
281,0.14024251,-0.428266
282,-0.16145713,-1.16359731
283,-1.74795865,-0.06033101
284,-1.16659791,0.0902393
285,0.41110408,-0.8084249
286,1.14757168,0.77804528
287,-1.65590748,-0.40105446
288,-1.15306865,0.00858699
289,0.60892121,0.68974833
290,-0.08434138,-0.97615256
291,0.19170053,-0.42331438
292,0.29663162,-1.13357399
293,-1.36893628,-0.25052124
294,-0.08037807,-0.56784155
295,0.35695011,-1.15064408
296,0.02482179,-0.63594828
297,-1.49075558,-0.2482507
298,-1.408588,0.25635431
299,-1.98274626,-0.54584475
