3934,588.0,432.0,7.0999999,203461,46000
3405,285.0,267.0,6.4000001,149998,0
478,65.0,29.0,3.20000005,8465,491
74,83.0,25.0,7.5999999,7071,930
1254,1437.0,224.0,8.0,241030,13000
740,111.0,64.0,6.4000001,64742,0
4841,1058.0,579.0,8.10000038,479047,117000
2869,59.0,104.0,6.80000019,18442,689
3252,117.0,160.0,7.19999981,49855,10000
1181,163.0,99.0,7.30000019,16995,0
2020,402.0,145.0,6.69999981,91092,0
4152,371.0,359.0,5.9000001,108242,39000
3220,62.0,64.0,6.19999981,15780,2000
2312,251.0,161.0,5.80000019,63912,912
1820,113.0,41.0,7.0,8535,872
718,85.0,43.0,6.4000001,76850,1000
831,107.0,65.0,6.5999999,40126,975
1231,226.0,113.0,6.5,26034,0
1746,125.0,71.0,6.5999999,17261,455
3508,43.0,10.0,5.30000019,8598,250
1621,181.0,93.0,6.0,44913,3000
3197,143.0,128.0,4.80000019,33088,0
4464,5.0,10.0,4.80000019,241,261
3929,7.0,39.0,7.0999999,774,590
2183,18.0,33.0,4.5,3119,151
3298,53.0,83.0,7.4000001,6091,0
2392,156.0,111.0,5.0,51252,621
978,41.0,29.0,6.0999999,22748,666
3176,148.0,222.0,6.5999999,55597,4000
272,60.0,25.0,6.0999999,18140,855
2414,69.0,87.0,6.30000019,10052,0
2873,65.0,121.0,5.9000001,8867,0
2744,88.0,117.0,7.4000001,46076,11000
4013,8.0,13.0,5.4000001,133,424
4707,440.0,465.0,7.4000001,232187,47000
4592,34.0,59.0,5.30000019,5693,0
2379,90.0,34.0,6.5999999,19336,0
848,57.0,31.0,6.69999981,8531,591
308,134.0,52.0,6.9000001,48629,0
4210,111.0,217.0,6.9000001,31898,0
1492,377.0,131.0,6.5999999,52244,0
3879,55.0,162.0,7.30000019,15600,0
4094,150.0,239.0,6.80000019,47954,11000
3319,120.0,124.0,5.4000001,31191,0
302,152.0,75.0,6.19999981,31260,0
3854,316.0,481.0,7.5999999,148221,51000
1522,431.0,142.0,6.4000001,200260,0
1491,119.0,47.0,3.5999999,2855,663
1526,12.0,15.0,7.5999999,341,379
4501,37.0,129.0,6.5999999,8307,5000
143,64.0,15.0,7.0,3454,548
1048,207.0,78.0,5.9000001,6082,853
1943,866.0,301.0,8.19999981,692482,11000
877,98.0,43.0,6.0999999,13949,453
4362,"","",4.30000019,28,17
2577,306.0,171.0,5.80000019,50170,773
3760,150.0,206.0,6.69999981,46813,12000
2331,43.0,38.0,7.30000019,6454,0
1762,10.0,8.0,5.80000019,191,7
3042,109.0,127.0,4.9000001,31640,791
2226,129.0,32.0,1.89999998,25371,0
2239,4.0,16.0,7.4000001,352,44
4769,110.0,224.0,5.80000019,28429,0
3016,1.0,5.0,7.4000001,59,18
783,283.0,72.0,5.80000019,81783,0
2676,238.0,173.0,5.5,32671,0
